loan_id,credit_score,risk_band,ml_default_score,score_date,score_band
LN0000001,744,Near-Prime,0.1128,2026-03-06,Medium Risk
LN0000002,843,Prime,0.068,2026-03-06,Low Risk
LN0000003,695,Near-Prime,0.0404,2026-03-06,Low Risk
LN0000004,643,Sub-Prime,0.1243,2026-03-06,Medium Risk
LN0000005,843,Prime,0.319,2026-03-06,High Risk
LN0000006,841,Prime,0.108,2026-03-06,Medium Risk
LN0000007,712,Near-Prime,0.4118,2026-03-06,High Risk
LN0000008,753,Prime,0.328,2026-03-06,High Risk
LN0000009,631,Sub-Prime,0.2228,2026-03-06,Medium Risk
LN0000010,607,Sub-Prime,0.2046,2026-03-06,Medium Risk
LN0000011,675,Sub-Prime,0.0842,2026-03-06,Low Risk
LN0000012,456,Deep Sub-Prime,0.0755,2026-03-06,Low Risk
LN0000013,672,Sub-Prime,0.2806,2026-03-06,High Risk
LN0000014,802,Prime,0.252,2026-03-06,High Risk
LN0000015,688,Near-Prime,0.1334,2026-03-06,Medium Risk
LN0000016,686,Near-Prime,0.3821,2026-03-06,High Risk
LN0000017,596,Sub-Prime,0.0235,2026-03-06,Low Risk
LN0000018,706,Near-Prime,0.2898,2026-03-06,High Risk
LN0000019,750,Prime,0.2004,2026-03-06,Medium Risk
LN0000020,486,Deep Sub-Prime,0.3097,2026-03-06,High Risk
LN0000021,800,Prime,0.2626,2026-03-06,High Risk
LN0000022,520,Deep Sub-Prime,0.2058,2026-03-06,Medium Risk
LN0000023,621,Sub-Prime,0.1197,2026-03-06,Medium Risk
LN0000024,745,Near-Prime,0.196,2026-03-06,Medium Risk
LN0000025,683,Near-Prime,0.1786,2026-03-06,Medium Risk
LN0000026,703,Near-Prime,0.1329,2026-03-06,Medium Risk
LN0000027,705,Near-Prime,0.3796,2026-03-06,High Risk
LN0000028,592,Sub-Prime,0.3043,2026-03-06,High Risk
LN0000029,694,Near-Prime,0.2055,2026-03-06,Medium Risk
LN0000030,560,Deep Sub-Prime,0.1946,2026-03-06,Medium Risk
